id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
781085542885200758,Global Home_Pico Cebollera,491297090,Manuel,Puente de Vallecas,San Diego,40.3930671,-3.6702662,Entire home/apt,164,1,30,2025-09-05,0.91,1,54,15,ESFCTU00002805300079921000000000000000000000VT-139561
781100322228217663,Habitaciones acogedoras y tranquilas,24764717,Pablo Y Lucía,Chamartín,Prosperidad,40.44257,-3.673,Private room,,3,8,2024-03-09,0.24,2,0,0,
781152615810135002,Acogedor apartamento junto a Madrid Rio,8244614,Mad About You,Carabanchel,Comillas,40.39691,-3.71388,Entire home/apt,74,3,46,2025-07-20,1.56,2,26,19,ESFCTU000028091000443269000000000000000000000VT137418
781163935369507521,apartamento en plaza de canalejas,391810099,Alberto Jesus,Centro,Sol,40.4165384,-3.7007342,Entire home/apt,,1,2,2024-10-04,0.07,95,0,1,
781207149625042273,Acogedor piso en Malasaña,277963447,Carla,Centro,Universidad,40.42337,-3.70445,Entire home/apt,133,3,7,2025-01-03,0.23,2,223,2,
781207159757373462,Calle San Hermenegildo,277963447,Carla,Centro,Universidad,40.4284382,-3.7074601,Entire home/apt,143,3,1,2023-12-31,0.05,2,305,0,ESFCNT00002810800052809100000000000000000000000000003
781299564020042612,Plaza Mayor & Ópera New & Cute,491343408,Alicia Y Dani,Centro,Sol,40.41677107907584,-3.707019232266101,Entire home/apt,110,2,113,2025-09-13,3.90,1,333,46,
781729254627713547,Beautiful apartment with pool in Madrid by Sharing,491409596,Luis,Tetuán,Castillejos,40.46330106089697,-3.6926325344104507,Entire home/apt,79,1,11,2025-07-21,0.38,1,226,3,ESFCTU00002809400009181200000000000000000000000000004
781747150021603888,"Blueground | Tetuán, already furnished",434208714,Blueground,Tetuán,Cuatro Caminos,40.4518175,-3.6998479,Entire home/apt,,30,0,,,249,107,0,
781769359407360072,Dreamy apartment,426488805,Beatriz,Puente de Vallecas,Numancia,40.3975342,-3.6648392,Entire home/apt,62,2,153,2025-08-20,4.65,4,69,64,49/802089.9/18
781803030054855119,Retiro Park 1 Luxurious house with terrace,90647789,Victor,Retiro,Pacífico,40.4036542,-3.6744062,Entire home/apt,245,3,183,2025-09-09,5.55,13,307,72,
781820865742477774,Cuatro Caminos 05,440993833,Empresa Inagi,Tetuán,Cuatro Caminos,40.44836,-3.70374,Entire home/apt,121,7,3,2025-06-03,0.11,7,295,1,ESFCNT00002809300036945700000000000000000000000000005
781844345718181940,Modern and Luxury Apartament at Prado Museum,71801745,Pablo,Retiro,Jerónimos,40.41429,-3.6907,Entire home/apt,297,2,86,2025-09-01,2.75,2,109,41,
781905314490887839,Retiro Park 2 Luxurious house with terrace,90647789,Victor,Retiro,Pacífico,40.4036542,-3.6744062,Entire home/apt,197,3,153,2025-09-11,4.60,13,284,57,
781907979447422023,"Barajas Aeropuerto Madrid, Feria Madrid, Centro",491446899,Agnes,Barajas,Aeropuerto,40.47051870260756,-3.577658589792952,Private room,46,1,361,2025-09-13,12.46,1,129,172,
781954585735342847,Fantastic & Nice Loft in Retiro,291253690,Francisco Andres,Retiro,Estrella,40.4096960567065,-3.6652540504928894,Entire home/apt,121,1,70,2025-09-09,2.34,292,309,28,ESFCTU000028105000073675000000000000000000000VT135694
782383873909909745,Jara - 2 bedrooms and shared pool in Salamanca,346367515,Ukio,Salamanca,Recoletos,40.42841,-3.68161,Entire home/apt,213,31,0,,,384,307,0,ESFCNT00002808800036517200000000000000000000000000009
782392414176857907,Beautiful central attic / Malasaña/Gran Vía,291253690,Francisco Andres,Centro,Justicia,40.42179,-3.69973,Entire home/apt,132,1,114,2025-07-27,3.47,292,325,37,En proceso
782393019113129282,Apartment Salamanca Area,7767350,Ana,Salamanca,Lista,40.42943945493527,-3.671652288824463,Entire home/apt,185,2,5,2024-08-06,0.23,1,146,0,
782402536605430808,Madrid Ronda de Segovia,325163963,Tourist,Puente de Vallecas,Entrevías,40.38272,-3.67291,Entire home/apt,119,1,12,2024-09-16,0.43,19,286,1,
782421414659098707,Acogedora habitación privada excelente ubicación,491524184,Maria Gloria,Moratalaz,Vinateros,40.40542787323578,-3.6478418111801147,Private room,32,1,0,,,1,364,0,
782503856086224913,en pleno corazón de Madrid !,491539237,Carlos Harvey,Centro,Palacio,40.42189,-3.70897,Private room,113,1,0,,,1,365,0,
782516759005487796,Gazules - 2 bedrooms in Castellana,346367515,Ukio,Salamanca,Castellana,40.43612,-3.68409,Entire home/apt,102,31,0,,,384,265,0,ESFCNT00002808800043061000000000000000000000000000009
782538364108365710,"Habitación en la latina ,Madrid centro",19904756,Daniel,Latina,Puerta del Angel,40.41265,-3.72519,Private room,,150,47,2025-06-28,1.42,2,0,5,
782626371247516544,Acogedor Mini-Loft,81831494,José,Ciudad Lineal,Ventas,40.42783328624344,-3.6515311896801,Entire home/apt,60,1,158,2025-07-27,4.77,2,192,43,
782627516259047353,Piso de diseño junto Plaza Mayor,13598547,María Eugenia,Centro,Palacio,40.4164553,-3.7102638,Entire home/apt,205,2,59,2025-08-31,1.78,3,107,29,
783034165793211674,Hotel Julia - Habitación Doble,491630804,Javier,San Blas - Canillejas,Simancas,40.434261613246775,-3.632442657008361,Private room,,1,9,2024-04-15,0.39,4,0,0,
783192162311907843,Rubik Ii apartment in Madrid,377605855,MIT House,Ciudad Lineal,Pueblo Nuevo,40.43587,-3.64096,Entire home/apt,120,1,21,2025-08-29,0.65,334,335,11,
783192249980609373,Rubik Iv apartment in Madrid,377605855,MIT House,Ciudad Lineal,Pueblo Nuevo,40.43369,-3.64115,Entire home/apt,129,1,21,2025-08-28,0.65,334,330,13,
783192440544305307,Rubik Vi apartment in Madrid,377605855,MIT House,Ciudad Lineal,Pueblo Nuevo,40.43382,-3.64088,Entire home/apt,156,1,21,2025-01-12,0.64,334,81,3,
783192780939318406,Rubik V apartment in Madrid,377605855,MIT House,Ciudad Lineal,Pueblo Nuevo,40.43368,-3.64153,Entire home/apt,97,1,12,2025-08-29,0.40,334,345,4,
783192887689942799,Rubik Vii apartment in Madrid,377605855,MIT House,Ciudad Lineal,Pueblo Nuevo,40.43542,-3.64147,Entire home/apt,97,1,7,2025-09-01,0.21,334,319,3,
783192953923578975,Rubik Ix apartment in Madrid,377605855,MIT House,Ciudad Lineal,Pueblo Nuevo,40.43362,-3.64079,Entire home/apt,97,1,19,2025-08-30,0.58,334,350,10,
783193022851949772,Rubik Xi apartment in Madrid,377605855,MIT House,Ciudad Lineal,Pueblo Nuevo,40.43513,-3.63921,Entire home/apt,91,1,22,2025-08-26,0.67,334,317,11,
783193145192214439,Rubik Xii apartment in Madrid,377605855,MIT House,Ciudad Lineal,Pueblo Nuevo,40.43386,-3.63922,Entire home/apt,122,1,32,2025-08-27,0.98,334,290,11,
783193360457969407,Rubik Viii apartment in Madrid,377605855,MIT House,Ciudad Lineal,Pueblo Nuevo,40.43402,-3.6393,Entire home/apt,122,1,12,2025-08-11,0.38,334,339,7,
783193377583913161,Rubik X apartment in Madrid,377605855,MIT House,Ciudad Lineal,Pueblo Nuevo,40.43378,-3.64008,Entire home/apt,,1,12,2025-08-09,0.37,334,333,5,
783408411607204836,Estudio cómodo junto al centro,213268838,Enrique,Carabanchel,Comillas,40.391,-3.712,Entire home/apt,71,2,2,2023-02-27,0.06,1,346,0,
783813337836111952,Royal room 1 with private bathroom,225570970,Royal,Centro,Palacio,40.41589,-3.71162,Private room,58,2,52,2025-08-20,1.58,33,86,21,ESHFNT00002809100076694800100000000000000000000000007
783880285540134563,Apartamento en Retiro,74589107,Roberto,Retiro,Pacífico,40.40604680000001,-3.6767041,Entire home/apt,128,1,2,2023-01-01,0.06,1,335,0,
784861052642299647,Habitación con baño privado en Bernabeu H4,481559529,Eva Maria,Chamartín,Hispanoamérica,40.4524643,-3.6726432,Private room,65,1,98,2025-07-13,2.99,7,257,22,ESHFTU00002803800020806100300000000000000000000000004
785285390792672395,Lujo Madrid centro XV,468295029,Alejandro,Centro,Embajadores,40.40642399170313,-3.701809191784179,Entire home/apt,,2,8,2023-11-02,0.25,11,0,0,
785297649338555569,Cozy family apartment in residential area,291253690,Francisco Andres,San Blas - Canillejas,Simancas,40.42624,-3.62885,Entire home/apt,94,1,81,2025-09-07,2.65,292,280,31,En proceso
785310554120332382,Luxurious flat in Cuatro Caminos/Madrid,291253690,Francisco Andres,Chamberí,Vallehermoso,40.44679,-3.70422,Entire home/apt,231,1,74,2025-09-09,2.40,292,341,32,En proceso
785311424712290806,Precioso apartamento en el centro de Madrid,63860943,JoséM,Centro,Universidad,40.4272,-3.7126,Entire home/apt,90,1,34,2025-06-16,1.03,1,33,8,
785330594773827124,Alfonso V - La Latina,1408525,Mad4Rent,Centro,Palacio,40.413180039086896,-3.7107967346575426,Entire home/apt,123,3,16,2025-08-10,0.50,75,110,11,ESFCNT00002809100063654800000000000000000000000000001
785425490512391343,ÁTICO con terraza en el centro,30256733,Juan,Centro,Cortes,40.4106,-3.69534,Entire home/apt,105,2,142,2025-09-07,4.98,24,122,72,ESFCNT00002811800036435300000000000000000000000000003
785434040881501000,"Sunny and large terrace, Center Madrid Latina area",492016411,Adrien,Centro,Embajadores,40.41188780510836,-3.70254511841595,Entire home/apt,205,10,50,2025-09-04,1.59,1,117,21,ESFCNT00002811800003224500000000000000000000000000005
785452557392247132,Modern & Family-Friendly • Atocha Central Madrid,487925738,We Madrid,Arganzuela,Palos de Moguer,40.40395918884431,-3.692624191005583,Entire home/apt,143,2,133,2025-07-23,4.22,4,123,47,
785476946925287184,Cómodo Apartamento en uno de los mejores barrios,492026277,Alberto,Chamartín,Prosperidad,40.4437145395601,-3.671203876057425,Entire home/apt,75,30,21,2025-09-08,0.86,1,174,7,
785504757439118199,Refuge in Madrid,84195306,Mª Victoria,Centro,Embajadores,40.409429190044094,-3.6999368517668922,Entire home/apt,,1,115,2024-12-22,3.54,2,0,13,
